Contaminant(Node);Sensor2(Link)_greedyonly;Sensor2(Link);Frequency2;score(Frequency*EigenVector)2;Coverage2;Sensor3(Link)__greedyonly;Sensor3(Link);Frequency3;score(Frequency*EigenVector)3;Coverage3;Sensor4(Link)__greedyonly;Sensor4(Link);Frequency4;score(Frequency*EigenVector)4;Coverage4;Sensor5(Link)__greedyonly;Sensor5(Link);Frequency5;score(Frequency*EigenVector)5;Coverage5
64;[98, 99];[98, 99];[60, 48];[3.8946, 2.3812];7;[98, 99, 105];[98, 99, 97];[60, 48, 27];[3.8946, 2.3812, 1.5107];8;[98, 99, 105, 97];[98, 99, 97, 1];[60, 48, 27, 0];[3.8946, 2.3812, 1.5107, 0.0];120;[98, 99, 105, 97, 106];[98, 99, 97, 1, 2];[60, 48, 27, 0, 0];[3.8946, 2.3812, 1.5107, 0.0, 0.0];124
65;[99, 105];[99, 98];[60, 13];[2.9765, 0.8438];7;[99, 105, 106];[99, 98, 1];[60, 13, 0];[2.9765, 0.8438, 0.0];120;[99, 105, 106, 98];[99, 98, 1, 2];[60, 13, 0, 0];[2.9765, 0.8438, 0.0, 0.0];124;[99, 105, 106, 98, 108];[99, 98, 1, 2, 3];[60, 13, 0, 0, 0];[2.9765, 0.8438, 0.0, 0.0, 0.0];124
66;[105, 106];[99, 1];[45, 0];[2.2324, 0.0];120;[105, 106, 108];[99, 1, 2];[45, 0, 0];[2.2324, 0.0, 0.0];124;[105, 106, 108, 99];[99, 1, 2, 3];[45, 0, 0, 0];[2.2324, 0.0, 0.0, 0.0];124;[105, 106, 108, 99, 109];[99, 1, 2, 3, 4];[45, 0, 0, 0, 0];[2.2324, 0.0, 0.0, 0.0, 0.0];124
67;[100, 106];[100, 1];[61, 0];[2.3128, 0.0];120;[100, 106, 108];[100, 1, 2];[61, 0, 0];[2.3128, 0.0, 0.0];124;[100, 106, 108, 109];[100, 1, 2, 3];[61, 0, 0, 0];[2.3128, 0.0, 0.0, 0.0];124;[100, 106, 108, 109, 112];[100, 1, 2, 3, 4];[61, 0, 0, 0, 0];[2.3128, 0.0, 0.0, 0.0, 0.0];124
68;[101, 103];[100, 101];[60, 61];[2.2749, 1.7676];6;[101, 103, 100];[100, 101, 1];[60, 61, 0];[2.2749, 1.7676, 0.0];120;[101, 103, 100, 106];[100, 101, 1, 2];[60, 61, 0, 0];[2.2749, 1.7676, 0.0, 0.0];124;[101, 103, 100, 106, 108];[100, 101, 1, 2, 3];[60, 61, 0, 0, 0];[2.2749, 1.7676, 0.0, 0.0, 0.0];124
69;[108, 109];[1, 2];[0, 0];[0.0, 0.0];124;[108, 109, 112];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[108, 109, 112, 111];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[108, 109, 112, 111, 110];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
70;[112, 109];[1, 2];[0, 0];[0.0, 0.0];124;[112, 109, 114];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[112, 109, 114, 119];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[112, 109, 114, 119, 110];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
71;[110, 111];[1, 2];[0, 0];[0.0, 0.0];124;[110, 111, 109];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[110, 111, 109, 1];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[110, 111, 109, 1, 2];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
72;[110, 125];[1, 2];[0, 0];[0.0, 0.0];124;[110, 125, 159];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[110, 125, 159, 120];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[110, 125, 159, 120, 121];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
73;[111, 113];[1, 2];[0, 0];[0.0, 0.0];124;[111, 113, 115];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[111, 113, 115, 1];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[111, 113, 115, 1, 2];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
74;[114, 119];[124, 1];[60, 0];[0.0082, 0.0];120;[114, 119, 116];[124, 1, 2];[60, 0, 0];[0.0082, 0.0, 0.0];124;[114, 119, 116, 124];[124, 1, 2, 3];[60, 0, 0, 0];[0.0082, 0.0, 0.0, 0.0];124;[114, 119, 116, 124, 129];[124, 1, 2, 3, 4];[60, 0, 0, 0, 0];[0.0082, 0.0, 0.0, 0.0, 0.0];124
75;[113, 116];[1, 2];[0, 0];[0.0, 0.0];124;[113, 116, 117];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[113, 116, 117, 1];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[113, 116, 117, 1, 2];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
76;[115, 117];[1, 2];[0, 0];[0.0, 0.0];124;[115, 117, 1];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[115, 117, 1, 2];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[115, 117, 1, 2, 3];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
77;[117, 118];[1, 2];[0, 0];[0.0, 0.0];124;[117, 118, 1];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[117, 118, 1, 2];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[117, 118, 1, 2, 3];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
78;[118, 124];[124, 1];[61, 0];[0.0083, 0.0];120;[118, 124, 129];[124, 1, 2];[61, 0, 0];[0.0083, 0.0, 0.0];124;[118, 124, 129, 128];[124, 1, 2, 3];[61, 0, 0, 0];[0.0083, 0.0, 0.0, 0.0];124;[118, 124, 129, 128, 130];[124, 1, 2, 3, 4];[61, 0, 0, 0, 0];[0.0083, 0.0, 0.0, 0.0, 0.0];124
79;[120, 118];[1, 2];[0, 0];[0.0, 0.0];124;[120, 118, 121];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[120, 118, 121, 1];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[120, 118, 121, 1, 2];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
80;[121, 122];[1, 2];[0, 0];[0.0, 0.0];124;[121, 122, 126];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[121, 122, 126, 123];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[121, 122, 126, 123, 136];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
81;[123, 126];[1, 2];[0, 0];[0.0, 0.0];124;[123, 126, 122];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[123, 126, 122, 127];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[123, 126, 122, 127, 1];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
82;[123, 129];[1, 2];[0, 0];[0.0, 0.0];124;[123, 129, 128];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[123, 129, 128, 130];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[123, 129, 128, 130, 1];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
83;[127, 126];[1, 2];[0, 0];[0.0, 0.0];124;[127, 126, 1];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[127, 126, 1, 2];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[127, 126, 1, 2, 3];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
84;[130, 127];[1, 2];[0, 0];[0.0, 0.0];124;[130, 127, 1];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[130, 127, 1, 2];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[130, 127, 1, 2, 3];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
85;[128, 130];[1, 2];[0, 0];[0.0, 0.0];124;[128, 130, 1];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[128, 130, 1, 2];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[128, 130, 1, 2, 3];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
86;[131, 134];[1, 2];[0, 0];[0.0, 0.0];124;[131, 134, 127];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[131, 134, 127, 1];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[131, 134, 127, 1, 2];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
87;[132, 138];[1, 2];[0, 0];[0.0, 0.0];124;[132, 138, 131];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[132, 138, 131, 127];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[132, 138, 131, 127, 1];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
88;[133, 134];[1, 2];[0, 0];[0.0, 0.0];124;[133, 134, 132];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[133, 134, 132, 1];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[133, 134, 132, 1, 2];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
89;[135, 134];[1, 2];[0, 0];[0.0, 0.0];124;[135, 134, 136];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[135, 134, 136, 133];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[135, 134, 136, 133, 122];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
90;[137, 135];[1, 2];[0, 0];[0.0, 0.0];124;[137, 135, 136];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[137, 135, 136, 138];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[137, 135, 136, 138, 134];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
91;[139, 137];[1, 2];[0, 0];[0.0, 0.0];124;[139, 137, 138];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[139, 137, 138, 135];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[139, 137, 138, 135, 136];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
92;[140, 139];[1, 2];[0, 0];[0.0, 0.0];124;[140, 139, 150];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[140, 139, 150, 137];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[140, 139, 150, 137, 138];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
93;[141, 145];[1, 2];[0, 0];[0.0, 0.0];124;[141, 145, 140];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[141, 145, 140, 144];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[141, 145, 140, 144, 146];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
94;[143, 139];[1, 2];[0, 0];[0.0, 0.0];124;[143, 139, 137];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[143, 139, 137, 138];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[143, 139, 137, 138, 135];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
95;[144, 146];[1, 2];[0, 0];[0.0, 0.0];124;[144, 146, 143];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[144, 146, 143, 1];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[144, 146, 143, 1, 2];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
96;[149, 148];[1, 2];[0, 0];[0.0, 0.0];124;[149, 148, 151];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[149, 148, 151, 152];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[149, 148, 151, 152, 159];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
97;[151, 152];[1, 2];[0, 0];[0.0, 0.0];124;[151, 152, 159];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[151, 152, 159, 156];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[151, 152, 159, 156, 153];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
98;[152, 159];[1, 2];[0, 0];[0.0, 0.0];124;[152, 159, 153];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[152, 159, 153, 156];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[152, 159, 153, 156, 158];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
99;[156, 153];[1, 2];[0, 0];[0.0, 0.0];124;[156, 153, 155];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[156, 153, 155, 157];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[156, 153, 155, 157, 158];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
100;[153, 158];[1, 2];[0, 0];[0.0, 0.0];124;[153, 158, 154];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[153, 158, 154, 1];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[153, 158, 154, 1, 2];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
101;[154, 1];[1, 2];[0, 0];[0.0, 0.0];124;[154, 1, 2];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[154, 1, 2, 3];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[154, 1, 2, 3, 4];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
102;[155, 157];[1, 2];[0, 0];[0.0, 0.0];124;[155, 157, 1];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[155, 157, 1, 2];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[155, 157, 1, 2, 3];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
103;[164, 163];[33, 1];[28, 0];[5.1006, 0.0];120;[164, 163, 167];[33, 1, 2];[28, 0, 0];[5.1006, 0.0, 0.0];124;[164, 163, 167, 168];[33, 1, 2, 3];[28, 0, 0, 0];[5.1006, 0.0, 0.0, 0.0];124;[164, 163, 167, 168, 33];[33, 1, 2, 3, 4];[28, 0, 0, 0, 0];[5.1006, 0.0, 0.0, 0.0, 0.0];124
104;[163, 167];[33, 1];[51, 0];[9.2904, 0.0];120;[163, 167, 164];[33, 1, 2];[51, 0, 0];[9.2904, 0.0, 0.0];124;[163, 167, 164, 176];[33, 1, 2, 3];[51, 0, 0, 0];[9.2904, 0.0, 0.0, 0.0];124;[163, 167, 164, 176, 33];[33, 1, 2, 3, 4];[51, 0, 0, 0, 0];[9.2904, 0.0, 0.0, 0.0, 0.0];124
105;[162, 168];[33, 31];[51, 46];[9.2904, 0.0137];28;[162, 168, 161];[33, 31, 1];[51, 46, 0];[9.2904, 0.0137, 0.0];120;[162, 168, 161, 163];[33, 31, 1, 2];[51, 46, 0, 0];[9.2904, 0.0137, 0.0, 0.0];124;[162, 168, 161, 163, 167];[33, 31, 1, 2, 3];[51, 46, 0, 0, 0];[9.2904, 0.0137, 0.0, 0.0, 0.0];124
106;[169, 162];[33, 31];[46, 43];[8.3796, 0.0128];28;[169, 162, 166];[33, 31, 1];[46, 43, 0];[8.3796, 0.0128, 0.0];120;[169, 162, 166, 168];[33, 31, 1, 2];[46, 43, 0, 0];[8.3796, 0.0128, 0.0, 0.0];124;[169, 162, 166, 168, 161];[33, 31, 1, 2, 3];[46, 43, 0, 0, 0];[8.3796, 0.0128, 0.0, 0.0, 0.0];124
107;[169, 162];[33, 31];[46, 43];[8.3796, 0.0128];28;[169, 162, 166];[33, 31, 1];[46, 43, 0];[8.3796, 0.0128, 0.0];120;[169, 162, 166, 168];[33, 31, 1, 2];[46, 43, 0, 0];[8.3796, 0.0128, 0.0, 0.0];124;[169, 162, 166, 168, 161];[33, 31, 1, 2, 3];[46, 43, 0, 0, 0];[8.3796, 0.0128, 0.0, 0.0, 0.0];124
108;[170, 16];[85, 86];[22, 16];[5.3241, 4.492];16;[170, 16, 34];[85, 86, 83];[22, 16, 23];[5.3241, 4.492, 4.3145];16;[170, 16, 34, 45];[85, 86, 83, 82];[22, 16, 23, 28];[5.3241, 4.492, 4.3145, 2.858];22;[170, 16, 34, 45, 51];[85, 86, 83, 82, 88];[22, 16, 23, 28, 15];[5.3241, 4.492, 4.3145, 2.858, 2.4599];22
109;[170, 16];[85, 86];[22, 16];[5.3241, 4.492];16;[170, 16, 34];[85, 86, 83];[22, 16, 23];[5.3241, 4.492, 4.3145];16;[170, 16, 34, 45];[85, 86, 83, 82];[22, 16, 23, 28];[5.3241, 4.492, 4.3145, 2.858];22;[170, 16, 34, 45, 51];[85, 86, 83, 82, 88];[22, 16, 23, 28, 15];[5.3241, 4.492, 4.3145, 2.858, 2.4599];22
110;[171, 25];[25, 24];[60, 20];[0.0144, 0.0035];7;[171, 25, 21];[25, 24, 1];[60, 20, 0];[0.0144, 0.0035, 0.0];120;[171, 25, 21, 24];[25, 24, 1, 2];[60, 20, 0, 0];[0.0144, 0.0035, 0.0, 0.0];124;[171, 25, 21, 24, 1];[25, 24, 1, 2, 3];[60, 20, 0, 0, 0];[0.0144, 0.0035, 0.0, 0.0, 0.0];124
111;[171, 25];[25, 1];[60, 0];[0.0144, 0.0];120;[171, 25, 21];[25, 1, 2];[60, 0, 0];[0.0144, 0.0, 0.0];124;[171, 25, 21, 1];[25, 1, 2, 3];[60, 0, 0, 0];[0.0144, 0.0, 0.0, 0.0];124;[171, 25, 21, 1, 2];[25, 1, 2, 3, 4];[60, 0, 0, 0, 0];[0.0144, 0.0, 0.0, 0.0, 0.0];124
112;[12, 172];[1, 2];[0, 0];[0.0, 0.0];124;[12, 172, 1];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[12, 172, 1, 2];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[12, 172, 1, 2, 3];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
113;[172, 1];[1, 2];[0, 0];[0.0, 0.0];124;[172, 1, 2];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[172, 1, 2, 3];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[172, 1, 2, 3, 4];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
114;[173, 28];[28, 27];[60, 56];[0.0141, 0.0113];25;[173, 28, 10];[28, 27, 22];[60, 56, 38];[0.0141, 0.0113, 0.0088];34;[173, 28, 10, 27];[28, 27, 22, 40];[60, 56, 38, 19];[0.0141, 0.0113, 0.0088, 0.0];43;[173, 28, 10, 27, 9];[28, 27, 22, 40, 10];[60, 56, 38, 19, 56];[0.0141, 0.0113, 0.0088, 0.0, 0.0];63
115;[28, 173];[28, 27];[61, 60];[0.0144, 0.0122];25;[28, 173, 10];[28, 27, 22];[61, 60, 42];[0.0144, 0.0122, 0.0097];34;[28, 173, 10, 27];[28, 27, 22, 10];[61, 60, 42, 60];[0.0144, 0.0122, 0.0097, 0.0];56;[28, 173, 10, 27, 9];[28, 27, 22, 10, 11];[61, 60, 42, 60, 57];[0.0144, 0.0122, 0.0097, 0.0, 0.0];61
116;[174, 1];[1, 2];[60, 0];[0.0, 0.0];124;[174, 1, 2];[1, 2, 3];[60, 0, 0];[0.0, 0.0, 0.0];124;[174, 1, 2, 3];[1, 2, 3, 4];[60, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[174, 1, 2, 3, 4];[1, 2, 3, 4, 5];[60, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
117;[174, 1];[1, 2];[60, 0];[0.0, 0.0];124;[174, 1, 2];[1, 2, 3];[60, 0, 0];[0.0, 0.0, 0.0];124;[174, 1, 2, 3];[1, 2, 3, 4];[60, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[174, 1, 2, 3, 4];[1, 2, 3, 4, 5];[60, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
118;[175, 161];[31, 1];[46, 0];[0.0137, 0.0];120;[175, 161, 160];[31, 1, 2];[46, 0, 0];[0.0137, 0.0, 0.0];124;[175, 161, 160, 31];[31, 1, 2, 3];[46, 0, 0, 0];[0.0137, 0.0, 0.0, 0.0];124;[175, 161, 160, 31, 1];[31, 1, 2, 3, 4];[46, 0, 0, 0, 0];[0.0137, 0.0, 0.0, 0.0, 0.0];124
119;[161, 175];[31, 1];[60, 0];[0.0179, 0.0];120;[161, 175, 31];[31, 1, 2];[60, 0, 0];[0.0179, 0.0, 0.0];124;[161, 175, 31, 160];[31, 1, 2, 3];[60, 0, 0, 0];[0.0179, 0.0, 0.0, 0.0];124;[161, 175, 31, 160, 1];[31, 1, 2, 3, 4];[60, 0, 0, 0, 0];[0.0179, 0.0, 0.0, 0.0, 0.0];124
120;[176, 33];[33, 1];[60, 0];[10.9299, 0.0];120;[176, 33, 167];[33, 1, 2];[60, 0, 0];[10.9299, 0.0, 0.0];124;[176, 33, 167, 1];[33, 1, 2, 3];[60, 0, 0, 0];[10.9299, 0.0, 0.0, 0.0];124;[176, 33, 167, 1, 2];[33, 1, 2, 3, 4];[60, 0, 0, 0, 0];[10.9299, 0.0, 0.0, 0.0, 0.0];124
121;[176, 33];[33, 1];[60, 0];[10.9299, 0.0];120;[176, 33, 1];[33, 1, 2];[60, 0, 0];[10.9299, 0.0, 0.0];124;[176, 33, 1, 2];[33, 1, 2, 3];[60, 0, 0, 0];[10.9299, 0.0, 0.0, 0.0];124;[176, 33, 1, 2, 3];[33, 1, 2, 3, 4];[60, 0, 0, 0, 0];[10.9299, 0.0, 0.0, 0.0, 0.0];124
122;[33, 177];[33, 1];[61, 0];[11.112, 0.0];120;[33, 177, 1];[33, 1, 2];[61, 0, 0];[11.112, 0.0, 0.0];124;[33, 177, 1, 2];[33, 1, 2, 3];[61, 0, 0, 0];[11.112, 0.0, 0.0, 0.0];124;[33, 177, 1, 2, 3];[33, 1, 2, 3, 4];[61, 0, 0, 0, 0];[11.112, 0.0, 0.0, 0.0, 0.0];124
123;[32, 177];[32, 1];[61, 0];[0.014, 0.0];120;[32, 177, 1];[32, 1, 2];[61, 0, 0];[0.014, 0.0, 0.0];124;[32, 177, 1, 2];[32, 1, 2, 3];[61, 0, 0, 0];[0.014, 0.0, 0.0, 0.0];124;[32, 177, 1, 2, 3];[32, 1, 2, 3, 4];[61, 0, 0, 0, 0];[0.014, 0.0, 0.0, 0.0, 0.0];124
124;[41, 178];[41, 1];[61, 0];[0.0, 0.0];120;[41, 178, 1];[41, 1, 2];[61, 0, 0];[0.0, 0.0, 0.0];124;[41, 178, 1, 2];[41, 1, 2, 3];[61, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[41, 178, 1, 2, 3];[41, 1, 2, 3, 4];[61, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];124
125;[1, 178];[1, 2];[61, 0];[0.0, 0.0];124;[1, 178, 2];[1, 2, 3];[61, 0, 0];[0.0, 0.0, 0.0];124;[1, 178, 2, 3];[1, 2, 3, 4];[61, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[1, 178, 2, 3, 4];[1, 2, 3, 4, 5];[61, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
126;[14, 17];[86, 85];[16, 14];[4.492, 3.3881];16;[14, 17, 16];[86, 85, 83];[16, 14, 15];[4.492, 3.3881, 2.8138];16;[14, 17, 16, 34];[86, 85, 83, 88];[16, 14, 15, 15];[4.492, 3.3881, 2.8138, 2.4599];16;[14, 17, 16, 34, 170];[86, 85, 83, 88, 91];[16, 14, 15, 15, 31];[4.492, 3.3881, 2.8138, 2.4599, 2.2695];17
127;[17, 18];[86, 85];[16, 13];[4.492, 3.1461];16;[17, 18, 14];[86, 85, 83];[16, 13, 14];[4.492, 3.1461, 2.6262];16;[17, 18, 14, 16];[86, 85, 83, 88];[16, 13, 14, 15];[4.492, 3.1461, 2.6262, 2.4599];16;[17, 18, 14, 16, 34];[86, 85, 83, 88, 91];[16, 13, 14, 15, 30];[4.492, 3.1461, 2.6262, 2.4599, 2.1963];17
128;[71, 30];[71, 69];[38, 23];[9.0034, 5.6996];22;[71, 30, 50];[71, 69, 70];[38, 23, 25];[9.0034, 5.6996, 4.7351];27;[71, 30, 50, 70];[71, 69, 70, 74];[38, 23, 25, 16];[9.0034, 5.6996, 4.7351, 3.1235];41;[71, 30, 50, 70, 49];[71, 69, 70, 74, 75];[38, 23, 25, 16, 17];[9.0034, 5.6996, 4.7351, 3.1235, 1.881];44
129;[164, 163];[33, 1];[21, 0];[3.8254, 0.0];120;[164, 163, 167];[33, 1, 2];[21, 0, 0];[3.8254, 0.0, 0.0];124;[164, 163, 167, 168];[33, 1, 2, 3];[21, 0, 0, 0];[3.8254, 0.0, 0.0, 0.0];124;[164, 163, 167, 168, 33];[33, 1, 2, 3, 4];[21, 0, 0, 0, 0];[3.8254, 0.0, 0.0, 0.0, 0.0];124
